State,Rebates: General Status & Key Conditions,Sweepstakes/Contests: General Status & Key Conditions,Alcohol as Prize,Purchase Required for Sweepstakes Entry,Tied-House/Retailer Involvement in Promotions
Alabama,"Explicitly prohibited. Unlawful to offer anything of value as a premium, present, or discount to induce purchase of alcoholic beverages.",Explicitly prohibits awarding alcoholic beverages as prizes.,No.,"Not explicitly stated, but general prohibition on inducements suggests no.","Strong control state, general prohibition on inducements suggests strict separation."
Alaska,Unclear/Not explicitly detailed in research.,Contests and Sweepstakes do not have state-specific legal requirements that differ from the common promotion law. Contests and Sweepstakes in Alaska must still follow standard promotion law. (NO PURCHASE NECESSARY),Unclear/Not explicitly detailed in research.,Unclear/Not explicitly detailed in research.,Unclear/Not explicitly detailed in research.
Arkansas,Unclear/Not explicitly detailed in research.,Contests and Sweepstakes do not have state-specific legal requirements that differ from the common promotion law. Contests and Sweepstakes must still follow standard promotion law. (NO PURCHASE NECESSARY),Unclear/Not explicitly detailed in research. It's best to assume alcohol is not permitted as a prize.,Unclear/Not explicitly detailed in research. Best to assume NO PURCHASE NECESSARY.,Unclear/Not explicitly detailed in research.
California,"Permitted, including cross-merchandised. Rebate value cannot exceed product cost. Instant or mail-in allowed.","Permitted. No purchase/entry fee required. Participants 21+. Cannot involve alcohol consumption or benefit permanent retail licensee. Entry forms must state no purchase required. Instant awarding not permitted, instant notification is. Promotions on retail premises: minimum 3 unaffiliated retailers. No prizes to licensees/employees/family.","No (as primary prize), but can be incidental part of larger prize package.",No.,Cannot be for direct benefit of permanent retail licensee. Promotions on retail premises require minimum 3 unaffiliated retailers. No prizes to licensees/employees/family.
Colorado,Unclear/Not explicitly detailed in research.,Contests and Sweepstakes do not have state-specific legal requirements that differ from the common promotion law. Contests and Sweepstakes in Colorado must still follow standard promotion law. (NO PURCHASE NECESSARY).  Thestate does provide some guidance on contest types & promotional techniques on the state website.,Unclear/Not explicitly detailed in research. It's best to assume alcohol is not permitted as a prize.,Unclear/Not explicitly detailed in research. Best to assume NO PURCHASE NECESSARY.,Unclear/Not explicitly detailed in research.
Connecticut,Retail permittees can advertise manufacturer's rebate/net price with disclosures. Merchandise/novelties not permissible rebates if purchase required.,Prohibits games involving drinking alcohol or awarding alcohol as prizes.,No.,"Not explicitly stated, but general sweepstakes law implies no.",Focus on preventing indirect inducements not direct price adjustments.
Delaware,Unclear/Not explicitly detailed in research.,Contests and Sweepstakes do not have state-specific legal requirements that differ from the common promotion law. Contests and Sweepstakes must still follow standard promotion law. (NO PURCHASE NECESSARY),Unclear/Not explicitly detailed in research. It's best to assume alcohol is not permitted as a prize.,Unclear/Not explicitly detailed in research. Best to assume NO PURCHASE NECESSARY.,Unclear/Not explicitly detailed in research.
District of Columbia,No explicit restrictions on type/value of gifts licensees can give directly to consumers.,"No explicit prohibition on licensees offering contests/sweepstakes/promotions. Winnings to licensees/employees/agents subject to general gift rules. ABRA does not have jurisdiction over gambling, directs to Office of Lottery and Charitable Games.","Not explicitly prohibited by alcohol laws, but general gift rules apply. Gambling laws handled by separate agency.","Not explicitly stated by alcohol laws, likely governed by general gambling laws.",No explicit restrictions on gifts to consumers. Winnings to licensees/employees/agents subject to general gift rules.
Florida,"Malt beverages: Prohibited if manufacturer/distributor sponsored and redeemable by vendor. Wine/Liquor: ""Trade discounts"" permitted.",Permitted if no proof of purchase required and open to public. Alternative entry required. No vendor/employee participation. No winner selection or live contests at vendor's business.,"Not explicitly stated for sweepstakes, but general rules on inducements and tied-house suggest likely no.",No (alternative entry required).,"Vendors cannot collect entry forms, select winners, or host live contests. Strict separation."
Georgia,Unclear/Not explicitly detailed in research.,"Alcoholic beverage contests or contests involving/promoting drinking, or authorizing alcohol as prize, not allowed.",No.,Not explicitly stated.,Not explicitly detailed in research.
Hawaii,Unclear/Not explicitly detailed in research.,"Because ROUND has operated campaigns in the state for more than 7 years, without issue, this fee/application may not apply to your campaign - please speak directly with ROUND. Sweepstakes “offering prizes totaling more than $5,000 must file with the Florida Department of Agriculture and Consumer Services (FDACS) seven days prior to commencement of the game promotion”- Florida Department of Agriculture and Consumer Services. See more detailed information here: https://www.fdacs.gov/Business-Services/Game-Promotions-Sweepstakes",Unclear/Not explicitly detailed in research. It's best to assume alcohol is not permitted as a prize.,Unclear/Not explicitly detailed in research. Best to assume NO PURCHASE NECESSARY.,Unclear/Not explicitly detailed in research.
Idaho,Unclear/Not explicitly detailed in research.,Contests and Sweepstakes do not have state-specific legal requirements that differ from the common promotion law. Contests and Sweepstakes must still follow standard promotion law. (NO PURCHASE NECESSARY),Unclear/Not explicitly detailed in research. It's best to assume alcohol is not permitted as a prize.,Unclear/Not explicitly detailed in research. Best to assume NO PURCHASE NECESSARY.,Unclear/Not explicitly detailed in research.
Illinois,"Proposed rule to authorize limited use of industry member-funded coupons/rebates (digital, cross-merchandise). Transparent, redeemable by all participating retailers. As of Jan 1, 2024: manufacturers prohibited from offering paper coupons requiring retailer presentation at purchase. Coupons can be in loyalty programs, include non-alcoholic products, offered by manufacturers for on/off-premise. Must be posted on State Commission website 30 days prior.","Prohibits games/contests involving drinking alcohol or awarding a drink as a prize. Generally unlawful to give away alcohol free, with limited exceptions for wine tasting.",No.,"Not explicitly stated, but general sweepstakes law implies no.",Coupons must be redeemable by all participating retailers to ensure fair access. Manufacturers prohibited from paper coupons requiring retailer presentation.
Indiana,"Loyalty programs with ""member pricing"" permissible if free to join and available to all. Points-based rewards for alcohol purchases redeemable for cash/discounted alcohol are illegal inducements/price discrimination.","Prizes/offers by primary source/wholesaler directly to consumers, not conditioned on alcohol purchase.","Not explicitly stated, but ""not conditioned on purchase"" suggests no direct alcohol prize.",No.,Limits on points-based rewards to prevent indirect inducements.
Iowa,"Mail-in manufacturer rebates/coupons for liquor generally allowed, must comply with federal regs. Industry member coupons redeemable at retail not inducement if all retailers can redeem and reimbursement is face value + handling fee. Industry members can offer contest prizes, premiums, refunds directly to consumers (excluding wholesaler/retailer employees).","Industry members may offer contest prizes, premiums, refunds directly to consumers (excluding wholesaler/retailer employees). Restrictions on university events (no 2-for-1, donations for discounts).","Not explicitly stated, but focus on ""prizes, premiums, refunds"" suggests non-alcohol.","Not explicitly stated, but general sweepstakes law implies no.","Coupons must be redeemable by all retailers, reimbursement limited to face value + handling fee. Wholesaler/retailer employees excluded from participation."
Kansas,Manufacturers/importers prohibited from offering coupons/incentives redeemable from wholesaler/retailer. Retailers prohibited from offering gifts/rebates with sale of beer/cereal malt beverage.,"Permitted, but alcoholic beverages explicitly prohibited as prizes.",No.,"Not explicitly stated, but general sweepstakes law implies no.","Strong interpretation of ""tied-house"" prohibitions, preventing manufacturers from channeling funds through retail/wholesale tiers."
